company,effective_date,location,number_of_workers
Boyd Coffee Company,03/22/2018,"1060 W. Alameda Dr. Tempe, AZ 85282",4
Western Refining,02/28/2018,"19100 Ridgewood Parkway San Antonio, TX 78259",32
"ACS, LLC",02/21/2018,"4101 S. Ave. 3 1/4 E Yuma, AZ 85365",60
Sams Club,01/11/2018,"1375 S. Arizona Chandler, AZ 85225",150
Sams Club,01/11/2018,"2425 E. Florence Blvd Casa Grande, AZ 85122",152
Sams Club,01/11/2018,"5757 E. State Route 69 Prescott Valley, AZ 86314",137
Sams Club,01/11/2018,"15255 N. Northsight Blvd Scottsdale, AZ 85251",129
Albertsons,01/05/2018,"10665 N. tatum Blvd Phoenix, AZ 85028",76
Marriott,11/29/2017,"10400 Fernwood Road Bethesda, MD 20817",20
Unitedhealth Group,11/02/2017,"2222 West Dunlap Avenue Phoenix, AZ 85021",381
Xchange Leasing LLC (XCL),10/31/2017,"2929 North Central Avenue Phoenix, AZ 85012",228
Rockwell collins,10/19/2017,"1851 s. pantano Rd. Tucson, AZ 85710",28
Suddenlink Communications,08/03/2017,"2100 College Drive, suite 130 Lake Havasu, AZ 86403",50
"SCA Tissue NA, LLC",06/08/2017,"1600 E. Butler Avenue Flagstaff, AZ 86001",78
Kellogg's,05/26/2017,"P.O. Box CAMB Battle Creek, MI 49016",180
